Tax Year,Date Filed,Parcel Number,Nickname ,Use of Property,Basis for Petition ,Method of Valuation,Petition Completed by: ,Full Cash Value (FCV) By owner,Limited Property Value (LPV) by owner,FCV by Notice,LPV by Notice,Assessor's Decision (FCV),Assessor's Decision (LPV),Basis for Decision,Reviewed by:,Outcome (i.e. Granted in Full / Granted in Part / No Change),Details of Outcome,FCV %,LPV %,outcome_FCV,outcome_LPV
Not listed,2/28/1983,114-50-012,VETERANS/SEPT'04,Income Producing / Vacant Land / Agricultural /Ranch,"The petitioner is submitting this petition to protest the 1983 proposed ""full/limited cash value and classification"" (hereinafter called ""value"") set by sant cruz county. The value is an amount greater than the price for which the parcel applicable to this petition can be reasonably marketed and sold. Thus the value is in excess of the fair and just market value. Based upon the status, classification, character and use of the parcels the value is unfair, arbituary and against appropriate law. ",N/A,Great Western Bank and Trust Co. ,600000,,1156331,,839931,839931,"Improvements recalculated, changed adds on improvement #1 and changed sq. feet on improvement #3, land lowered to $55,318 for a full cash value of $1,119,908. 25% economic obsolescence allowed for this year only. ",N/A,Granted in part ,Half-Way in between request and outcome (27% on FCV and no change on LPV),27,0,Granted in Part,Granted in Part
Not listed,3/1/1983,105-20-004,MORGAN,Residential/Agricultural,"The land is used for purely agricultural purposes. The lessee Miguel Morales, has filed an affidavit of agricultural land lease to support this usage. The buildings have minimal value. The barn (has deteriorated to just about salvage value and this can be seen by looking at the walls that have tumbled down. The house has had minimal maintenance since 1950 and a number of different lessee's have left it delapidated so it have decreased in value. Your review of this assessment will be appreciated. An affidavit of Agricultural land lease is attached. ",N/A,Martha R. Morgan Et Al,51280,37038,76258,46843,61244,,"Land valued at $38,918 with 50% topographical allowance for a value of $19,459. Improvements (all at minimum grade and below average condition) for a value of $41,785. Grazing lease not applicable due to acreage limitation - need enough land to graze 40 head of cattle",N/A,Granted in Part,Half-Way in between request and outcome (20% reducted on FCV and no change on LPV),20,0,Granted in Part,Granted in Part
Not listed,2/18/1984,105-22-023,DRIVE INN,Commercial ,"This property is well under the ""Flood Plane"" and several times this past year was under water. The tennants have been constantly complaining and not paying the rent. No increase is justified after you check the property. A decrease in valuation will result. Of the 9 acres only 1 1/2 acre is rented. The rest is vacant land mostly under water. ",Full Cash Value / Limited Value,Atanasio  Panosopoulos - Trifon Stabropulos,63481,49403,85076,58321,70210,54605,"Adjusted land value to 40,320. 20% economic obsolescence allowed for this year only ",N/A,Granted in part,Half-Way in between request and outcome (17% on FCV and 6% on LPV),17,6,Granted in Part,Granted in Part
Not listed,2/20/1984,102-01-038,LAS PALMAS,Manufacturing facility,"The amount ($1,200,000) represents the selling price for the land and building. In our best estimate based on market conditions, this is the amount that could be obtained in a sale. ",Not listed,Irvine Industries Inc. ,1200000,1200000,1719628,1687462,1375702,1375702,Improvement recalculated and found to be correct 20% ecomonic obsolescence allowed for this year only,N/A,Granted in Part,Half-Way in between request and outcome (20% reducted on FCV and 18% on LPV),20,18,Granted in Part,Granted in Part
1984,2/21/1984,102-01-036-7,2085 N GRAND/MINI STORAGE,Income Producing,The income for this property since the peso devaluation is about 40% of pre peso devaluation - yet the taxes continue to increase - the value of the property is diminished in proportion to the diminished income - reduced valuation + taxes relief is necessary to every stay in business,Market,Ralph L. Preston,280000,135000,726747,438232,581398,401895,"Improvements were recalculated and found to be correct - Full cash value at $591,467 and land value at $135,280. 20% economic obsolescene allowed for one year only for a new FCV of $581,398. ",S. Jackson,Granted in Part,Half-Way in between request and outcome (2% reducted on both FCV and 8% on LPV),2,8,Granted in Part,Granted in Part
Not listed,2/27/1985,114-50-012,RIO RICO PLAZA ,Income Producing / Vacant Land / Agricultural /Ranch,"The petitioner is submitting this petition to protest the 1983 proposed ""full/limited cash value and classification"" (hereinafter called ""value"") set by sant cruz county. The value is an amount greater than the price for which the parcel applicable to this petition can be reasonably marketed and sold. Thus the value is in excess of the fair and just market value. Based upon the status, classification, character and use of the parcels the value is unfair, arbituary and against appropriate law. ",N/A,Rio Rico Properties Inc. ,798672,,1214495,1033575,1065514,1033575,Improvement recalculated and found to be correct 15% ecomonic obsolescence allowed for this year only,N/A,Granted in part ,Very limited reduction of 12% on FCV and no change on LPV,12,0,Granted in Part,Granted in Part
Not listed,3/1/1985,102-01-035,1967 N. Grand ,Income Producing/ Shopping Center,"The state board of property tax appeals determines that in 1984 the assessors value in santa cruz county were 30 - 40% over market. Therefore, a negative factor rather than a positive factor shown have been applied. Please adjust from the 1984 value. Also we have request that these improvements be returned to their original status as ""IPRS"". We understand that this will be taken care of for 1985",Market,N/A,1100000,624748,1617251,754060,1617251,754060,The improvement was recalculated and found to be correct. No change. ,N/A,No change,,0,0,No Change,No Change
Not listed,3/1/1985,102-01-038,LAS PALMAS,Not listed,"The market value of the property set by the Assessor is excessive and not a true representation of the market value of the property. Santa Cruz County is a depressed area and the values of the properties have decreased, because of such depression and have not increased. The value placed by the the assessor on the property is excessive when comparing the property with similar properties. No standard appraisal technique justifies the value placed on the property by the assessor.",Not listed,Irvine Industries Inc. ,1375702,1375702,1907312,1513272,1621215,1513272,"Improvement Value recalculated and found to be correct, 15% economic obsolescence allowed for this year only.",N/A,Granted in Part,Half-Way in between request and outcome (6% reducted on FCV and on LPV),6,6,Granted in Part,Granted in Part
Not listed,3/1/1985,105-22-023,DRIVE INN,Vacant Land ,"The value should not be increased since the lot has been flooded & tennants have moved out. Only 1/2 acre is used, & even that will be vacant since tenant has not paid rent since 1983. Lot is 95% vacant. ",Full Cash Value / Limited Value / Legal Classification,Atanasio  Panosopoulos - Trifon Stabropulos,70210,54605,91663,63870,73789,60066,Improvement recalculated. 15% economic obsolescence allowed for this year only. ,N/A,Granted in part,Very close to Granted in Full; (19% reduced on FCV and 6% on LPV),19,6,Granted in Part,Granted in Part
Not listed,3/4/1985,105-20-004,MORGAN,Residential,"The pastureland is used for grazing. The assessment error as we see it is the improvements. The house is built of adobe and plastered not frame or concrt block as shown in the assessor's records. It has not been repaired for 15 or 20 years and there are holes in the walls, leaks in the roof, holes in the flooring. Some tennants used the wall for target practice. The condition of the house is well below average not average as shown in the assessor's records. A physical inspection of this property will confirm that it is well below average and not worth the $37,109 improvement value. Please review and reduce this valuation. Thank you. ",N/A,Martha R. Morgan Et Al,50000,50000,60188,52138,56477,52139,Changed phy-cond of improvement to below average,N/A,Granted in Part,Very limited reduction of 6% on FCV and an increase of $1 on LPV,6,0,Granted in Part,Granted in Part
1985,5/23/1985,102-01-036-7,2085 N GRAND/MINI STORAGE,N/A,N/A,N/A,Dino Panousopouls,380000,170000,976953,775432,830315,389932,Improvement value recalculated and found to be correct change assessmnet percentage. 15% economic obsolescence allowed for this year only.  ,N/A,Granted in Part,Very limited reduction of FCV (15%) / 50% decrease on LPV,15,50,Granted in Part,Granted in Part
Not listed,2/25/1986,102-01-035,1967 N. Grand ,Commercial/Industrial,This center has an effective age of 14 years. Please apply 28% obsolescene to this shopping center. An income and expense statement is being prepared and will be submitted when available. ,Market,Donald Roelke,1187456,973071,1979004,1621786,1533232,1256477,Income and expense statement not available. Insufficient data for income approach. 15% economic obsolescence for this year. ,N/A,Granted in Part,Half-Way in between request and outcome (23% reducted on both FCV and LPV),23,23,Granted in Part,Granted in Part
1986,2/27/1986,102-01-036-7,2085 N GRAND/MINI STORAGE,Commercial/Industrial,"Construction not yet usable, additional buildings under construction need more time to finish. Construction + evaluation of tax",N/A,Ralph L. Preston,830315,384932,1144017,1017512,972414,864844,"Only part of construction picked up, for 1986 tax roll. 15% economic obsolescence for this year only. ",N/A,Granted in Part,Half-Way in between request and outcome (15% reducted on both FCV and LPV),15,15,Granted in Part,Granted in Part
Not listed,2/27/1986,114-50-012,RIO RICO PLAZA ,Income Producing / Vacant Land / Agricultural /Ranch,"The petitioner is submitting this petition to protest the 1983 proposed ""full/limited cash value and classification"" (hereinafter called ""value"") set by sant cruz county. The value is an amount greater than the price for which the parcel applicable to this petition can be reasonably marketed and sold. Thus the value is in excess of the fair and just market value. Based upon the status, classification, character and use of the parcels the value is unfair, arbituary and against appropriate law. ",N/A,Rio Rico Properties Inc. ,750000,,1362447,1065445,1116625,1063088,Adjusted adds for a new value. 15% economic obsolesvence for this year. ,N/A,Granted in part ,Very limited reduction of 18% on FCV and .002% on LPV,18,0,Granted in Part,Granted in Part
Not listed,2/28/1986,105-20-010-7,PK FIELDS - OLD TUCSON HWY,N/A,No longer 23.5 acres. River claimed several acres last year. I expect a decrease in value and not an increase. ,N/A,Dino Panousopouls,35000,35000,43896,43653,35116,35116,Parcel granted 20% topo due to land being in flood plain,N/A,Granted in Part,Very close to Granted in Full; (20% reduced on FCV and on LPV),20,20,Granted in Part,Granted in Part
Not listed,2/28/1986,105-22-023,DRIVE INN,Vacant Land,"The value should not be increase since the lot has been flooded and tennants have moved out. Only 1/2 acre is used, and even that will be vacant since tenant has not paid rent since 1983. Lot is 95% vacant.",Full Cash Value / Limited Value / Legal Classification,Atanasio  Panosopoulos - Trifon Stabropulos,70210,54605,93217,68354,71901,66703,Land adjusted and 15% ecomnomic obsolescence for this year. ,N/A,Granted in part,Very close to Granted in Full; (23% reduced on FCV and 2% on LPV),23,2,Granted in Part,Granted in Part
Not listed,2/21/1987,102-01-035,1967 N. Grand ,Commercial/Industrial,Income & expense is being prepared and will be submitted when available. Econonic Performance projection do not support current FCV.,Market,Donald Roelke,1239195,969450,1770279,1384928,1479658,1384928,Income and expense statement not submitted. Shopping center depreciation applied and 10% economic obsolescence for year. ,N/A,Reduction in FCV / No change on LPV,Half-way in between request and outcome (16.5% reduced on FCV),16.5,0,Granted in Part,No Change
Not listed,2/21/1987,114-50-012,RIO RICO PLAZA ,Income producing,"The petitioner is submitting this petition to protest the 1983 proposed ""full/limited cash value and classification"" (hereinafter called ""value"") set by sant cruz county. The value is an amount greater than the price for which the parcel applicable to this petition can be reasonably marketed and sold. Thus the value is in excess of the fair and just market value. Based upon the status, classification, character and use of the parcels the value is unfair, arbituary and against appropriate law. ",N/A,Rio Rico Properties Inc. ,700000,,1197750,991261,939614,939614,"Improvement value recalculated, land adjusted to $33,193 from $56,425. 20% economic obsolescence allowed for this year only. ",N/A,Granted in part ,Half-Way in between request and outcome (22% on FCV and no change on LPV),22,0,Granted in Part,Granted in Part
Not listed,2/23/1987,105-22-023,DRIVE INN,Vacant Land,In 1986 for the adjacent 1.5 AC paid only $3000.00. That makes this parcel way over valued considering it is below flood plane and vacant land. Please make sure to also change the classification. This is vacant land. ,Full Cash Value / Limited Value / Legal Classification,Atanasio  Panosopoulos - Trifon Stabropulos,45000,40000,83828,72680,54926,54926,"Parcel field checked 03/10/87 two buildings on parcel changed land value from 34,514 to 24,160 obsolescence applied to both improvements ",N/A,Granted in part,Half-Way in between request and outcome (35% on FCV and 25% on LPV),35,25,Granted in Part,Granted in Part
Not listed ,2/23/1987,114-50-012,RIO RICO PLAZA ,Income Producing / Vacant Land / Agricultural /Ranch,"The petitioner is submitting this petition to protest the 1983 proposed ""full/limited cash value and classification"" (hereinafter called ""value"") set by sant cruz county. The value is an amount greater than the price for which the parcel applicable to this petition can be reasonably marketed and sold. Thus the value is in excess of the fair and just market value. Based upon the status, classification, character and use of the parcels the value is unfair, arbituary and against appropriate law. ",N/A,Rio Rico Properties Inc. ,700000,,1342981,1169396,1146634,1146634,Improvement values recalculated. 15% economic obsolescence for this year. ,N/A,Granted in part ,Very limited reduction of 15% on FCV and 2% on LPV,15,2,Granted in Part,Granted in Part
Not listed,2/22/1988,102-01-035,1967 N. Grand ,Commercial/Industrial,Economic performance projections do not support current FCV. Income & Expenses is being prepared and will be submitted when available. To not allow S/C Obsol on card 1 0f 10 which is S/C parking lot is in error. Please adjust this error & apply an additional 20% obsol due to depressed market.,Market,Donald Roelke,1040693,912202,1734489,1520331,1632616,1520338,Improvement value recalculated and adjusted obsolescence for a new value.,N/A,Granted in Part on FCV / Slight increase on LPV,Very limited reduction of FCV (5.9%) / $7 increase on LPV,5.9,0,Granted in Part,No Change
Not listed,1/30/1989,102-01-035,1967 N. Grand ,Commercial/Industrial,Please allow shopping center obsolescence on card 1 or 10 which is the S/C parking lot. Overall market depressed. Please add additional obsolescence. ,Market,Donald Roelke,877731,836186,1755461,1672371,1697061,1672372,Applied shopping center obsolescence,N/A,Granted in Part on FCV / Slight increase on LPV,Very limited reduction of FCV (3.4%) / $1 increase on LPV,3.4,0,Granted in Part,No Change
1989,1/31/1989,102-01-036-7,2085 N GRAND/MINI STORAGE,mobile home,Mobile home park lost the land + income from 12 spaces as result of gift to santa cruz county for right of way to court house - Taxes should not be increases as a result of the lost of the land + income thereof. ,Market ,Ralph L. Preston,1292442,1240211,1318034,1318034,1209179,1209179,Adjusted land value and acreage 8% economic obsolescence for this year. ,N/A,Granted in full ,8% on FCV and LPV,8,8,Granted in Full,Granted in Full
Not listed,1/24/1990,102-01-038,LAS PALMAS,Commercial/Industrial,"The basis for this protest is the fact that this property is in escrow at Lawyers Title in Nogales, Arizona (Escrow No. 2435-AR) at a sales price of $1,025,000.00 due to close on or before February 16,1990.0 I am also enclosing evidence showing the square footage on land and improvements is much less than your records show. Please review. ",Not listed,Valley Properties ,1025000,,2404589,2163979,1025000,1025000,"Improvement Value recalculated and found to be correct. Change value to $1,025,000 from $2,404,254 Due to sale Affidavit of property. Value dated March 14 1990.",N/A,Granted in full ,58% on FCV / 53% on LPV,58,53,Granted in Full,Granted in Full
Not listed,1/24/1990,105-22-023,DRIVE INN,N/A,This parcel is being assessed at 25.0 ass't ratio it is vacant land and should be assessed at 16.0% please correct. This is the old El Rancho Drive-In Theater. ,N/A,Atanasio  Panosopoulos - Trifon Stabropulos,N/A,,56275,56275,24660,21823,"There are two improvements on this parcel-change class to 10-9 salvage value. Change from $56,275 to 24,660. Salvage value applied to improvements, ratio corrected to 16%",N/A,N/A,FCV (54%) and LPV (62%) were both reduced,54,62,,
1990,1/26/1990,102-01-036-7,2085 N GRAND/MINI STORAGE,Commercial/Industrial,"Addition of approx 25,000 sq. ft. of small storage BLDS caused increase or 50% in valuation of the entire property - 25,000 is only 1/3 of mini storage building - also blids cost 750 sq st. - state chart used at 1250 per sq ft. IE. All rlds vlued 50% too high. Added blds are not porortunate to the total of blds + increase",N/A,Ralph L. Preston,1300000,1300000,1810444,1734459,1810444,1734459,Improvement value has been recalculated and found to be correct,N/A,No change,,0,0,No Change,No Change
Not listed,1/30/1990,102-01-035,1967 N. Grand ,Commercial/Industrial,"Due to economics, area market values have decreased from 1989 to 1990. Safeway has terminated their lease and vacated the center. Please allow obsolescence until released. ",Market,N/A,2208209,1430048,3154584,2042925,3065021,2020534,Full Cash Value is fair. Adjusted Shopping Center Obsolescence for a new value.,N/A,Granted in Part,Very limited reduction of FCV (3%) / 1% decrease on LPV,3,1,Granted in Part,Granted in Part
Not listed,1/31/1990,113-49-024-2B,NI P - 149 N FREEPORT DR (PALLETUSMEX),N/A,"The 1990 full cash value reflects an increase of 58% from the 1989 level. Given the current real estate market, the value should be no highter than 1989 full cash value. ",N/A,Rivas Carol Vista Homes Co. ,254000,254000,401990,278129,335335,261470,Ajusted adds for a new value. ,N/A,Granted in part ,Half-Way in between request and outcome (17% on FCV and 6% on LPV),17,6,Granted in Part,Granted in Part
Not listed,1/21/1991,102-01-038,LAS PALMAS,Commercial/Industrial,"I would like for somebody, anybody to explain to me how you can justify any increase in value on this property when it has been sitting vacant for one year with the exception of Halloween night 1190, when it was donated to the community. Deriving no income since I purchased the property. There have been no improvements what so ever (please review).",Not listed,Dino Panousopouls,1025000,1025000,2248981,1330995,1076250,1076250,Improvement adjusted for a new value,N/A,Granted in Part,Very close to Granted in Full; (52% reduced on FCV / 19% reduced on LPV),52,19,Granted in Part,Granted in Part
Not listed,1/31/1991,113-49-024-2B,NI P - 149 N FREEPORT DR (PALLETUSMEX),Commercial/Industrial ,"You are increasing land value by 500%. When surrounding property is general rural valuation, please review. Similar adjalent property is valued at a much lower rate (land value). ",Commercial/Industrial ,Carol Rivas,23218,18661,122517,44625,122517,44625,Full cash value updatted to be in line with surrounding parcels.,N/A,No change ,,0,0,No Change,No Change
Not listed,1/14/1992,102-01-035,1967 N. Grand ,Commercial/Industrial,"Economic performance projections do not support current FCV. Analysis of income performa does not support the current appraised value. Land value excessive compared to simila ppty, similared zoned. This parcel is a roadway and should have a 500 min value. Adjust land to the 1991 land value. No market activity to support increase. ",Market,N/A,1836826,1686921,2783070,2555941,2405441,2555941,"FCV was changed from $2,783,070 to $2,405,441. $1,462,309 for the improvement, and $943,132 for the land",N/A,Reduction in FCV / No change on LPV,Very limited reduction of FCV (14%),14,0,Granted in Part,No Change
Not listed,1/24/1994,113-49-024-2B,NI P - 149 N FREEPORT DR (PALLETUSMEX),Commercial/Industrial ,"To level he 2.87 AC will cost aprox.  110,000 per which will make the land value for this area about $4.00 per sq. ft. No market for this price. ",Commercial/Industrial ,Panousopoulos Constantine,N/A,,122517,89657,122517,89657,No increase over last years full cash value,N/A,No change ,,0,0,No Change,No Change
Not listed,1/9/1995,105-20-008,CANYON HOUSE/RANCH HOUSE ,Commercial/Industrial,"This and old house is big but with the room distubution cames very hard to make comparable with a well built new house of the same sq. ft. The bank value this house for $220,000",Market,Dino Panousopouls,200000,200000,453345,451533,276563,275458,40% incurable functional obsolescence allowed,R. Teran ,Granted in Part,Very close to Granted in Full; (39% reduced on FCV and on LPV),39,39,Granted in Part,Granted in Part
Not listed,1/24/1995,101-43-108A,WS Apts,Rental,Very old apartments in need of repair. Rents are very low,Market,Dino Panousopouls,66922,66922,75741,73614,75741,73614,Full cash value comparable with similar properties in the area,N/A,No change,,0,0,No Change,No Change
Not listed ,1/24/1995,105-21-001,PK MCCOY -LUTERAN CHURCH,Rental ,This a very old house value not to increase 100% over one year,Market,Dino Panousopouls,42000,42000,61259,42540,44509,39930,Adjustment made to land value. Improvement lower than last year. ,N/A,Granted in part,Very close to Granted in Full; (27% reduced on FCV and 6% on LPV),27,6,Granted in Part,Granted in Part
Not listed,1/25/1995,105-22-023,DRIVE INN,Vacant Land,Only about 4:00 AC are good half of the land cannot be used.  (remaining is not eligible),N/A,Dino Panousopouls,25000,25000,42722,31276,39204,31276,"Land values adjusted for 1995. Field check on 03/02/1995, improvement deleted from cost system. Usuage class changed on this parcel due to truck sales operating out of this parcel in a mobile home. ",N/A,Granted in part,Very limited reduction of 8% on FCV and no change on LPV,8,0,Granted in Part,Granted in Part
1995-6,1/26/1995,103-23-265A,MONTE CARLO APTS,Rental,Additional data will be submitted as deemed appropriate. Parcel 124-03-2610 sold 02/93 for $40.75/SF. Compare with 124-03-2470 at $35.00/SF. ,Market ,Racicot Apartments Inc An AZ Corp,690906,690906,500000,,500000,,"Recalculated on the new cost system. Comparable 124-08-261 is 3373 Sq Ft. 124-03-247 is 5040 Sq Ft. Your property has one building at 11,332 Sq. Ft. and a second building at 10,816 Sq. Ft. Subject properties comes out to 29.92 per Sq. Ft. ",N/A,No change,,0,0,No Change,No Change
Not listed,1/27/1995,102-01-038,LAS PALMAS,,With the peso devaluation business are about to close rent reduce over 50% so they can stay open. Acres shown on notice of 14.01 is wrong is 9.30 acres,Not listed,Dino Panousopouls,1025000,1025000,1225787,1183875,1025000,1025000,Land area computed and changed from 14.01 to 9.43 acres as per legal description. Full cash value reduced to purchase price of parcel due to border economic conditions. ,N/A,Granted in full ,16% on FCV / 13% on LPV,16,13,Granted in Full,Granted in Full
1997,4/12/1996,102-01-038,LAS PALMAS,Commercial/Industrial,No market for a big bag. Empty for almost 2 yrs nobody wants to rent. ,Not listed,Dino Panousopouls,1025000,1025000,700000,700000,,,N/A,Pablo Ramos ,N/A,,,,,
1997,4/15/1996,103-23-265A,MONTE CARLO APTS,Rental ,See attached Form 300. No justifications to increase over 1995 FCV. Economic obsolescence due to peso devaluation. ,Market/Income,Racicot Apartments Inc An AZ Corp,400000,,718444,718444,690906,690906,ARS 42-201.02 straight line method of capitalization building residence technique utilized. ,N/A,Granted in Part,Very limited reduction of 4% for both FCV and LPV,4,4,Granted in Part,Granted in Part
1998,4/28/1997,105-20-008,CANYON HOUSE/RANCH HOUSE ,N/A,"The house was updated in 1996. How can you increse the 10,000 in a 8 month period",Cost ,Dino Panousopouls,460000,363447,479379,363447,460000,358602,Improvement was upgraded in 1996. Adjustements were made in 1996. Agree with taxpayer. No chnages to improvements have been made since that time. ,Pablo A. Ramos ,Granted in full ,4% on FCV / 1% on LPV,4,1,Granted in Full,Granted in Full
Not listed,10/23/1997,113-49-024-2B,NI P - 149 N FREEPORT DR (PALLETUSMEX),Commercial/Industrial ,"Of the 2.87 Acres in the parcel only 5000 sq. ft. were used for the building (1786 sq. ft.) So we request 1. Leave 2.6 acres in parcel 024B 16% 2. Take .027 acres and building that cost $52,000 (cince the offices were not build) and make another parcel 25%",N/A,Panousopoulos Constantine,,,193455,,177708,,"Assessors recommendation to change FCV from $193,455 to $177,708 Land $122,517 Improvements $55,191",N/A,Granted In part,8% on FCV / no change on LPV,8,0,Granted in Part,Granted in Part
1999,3/25/1998,105-20-008,CANYON HOUSE/RANCH HOUSE ,N/A,No appreciation - older home,N/A,Delta Properties LLP,460000,358602,498833,394462,460000,394462,"Improvement upgraded for 1997 tax year to 460,000 cganged full cash calue to 460,000. Value will stay at 460,000 for this year only.",Pablo A. Ramos ,Granted in Part ,8% on FCV / no change on LPV,8,0,Granted in Part,Granted in Part
1999,3/25/1998,105-21-001,PK MCCOY -LUTERAN CHURCH,Residential ,Older house without appreciation,N/A,Delta Properties LLP,44433,44433,74760,52015,47987,47987,"Changed full cash value to 47,987, to reflect market area average increase",Pablo A. Ramos ,Granted in part,Very close to Granted in Full; (36% reduced on FCV and 8% on LPV),36,8,Granted in Part,Granted in Part
1999,4/27/1998,102-01-035,1967 N. Grand ,Commercial/Industrial,Property is at end of economic life. SW market vacated. No longer can compete for tenants. The new construction along La Mariposa has destroyed the value of this 25 year old shopping center. ,Market,Gary W. Heinbach ,600000,,2508571,2508571,2508571,2508571,No change. No increase in full cash value. ,Pablo Ramos ,No Change,,0,0,No Change,No Change
2000,3/29/1999,102-01-035,1967 N. Grand ,Commercial/Industrial,"Subject property is 27 year old shopping center that is 84% vacant. Income approach generates almost no value. Should be land value only plus $500 minimum value for improvements. CBOE set value at $1,871,104 for 1999. ARS 42-247. Another year and still 84% vacant. Value should be lower than last year. Market: 102-06-005 sold for $9.57/sq ft in 1998. Equity: 101-46-016 ",Market ,N/A,600000,,2832995,2109327,1871104,1871104,Change to country board of equalization,R. Teran ,Granted in Part,Half-Way in between request and outcome FCV (34%) / 11% decrease on LPV,34,11,Granted in Part,Granted in Part
