PARCEL #,PROPERTY,TOTAL FCV 2017,TOTAL FCV 2017,FCV VARIANCE,LIMITED VALUE 2017,LIMITED VALUE 2018,LPV VARIANCE,County
10521001,PK McCOY - LUTHERAN CHURCH,96388,98149,1761,77759,81646,3887,NPM #1 SANTA CRUZ
10520010,PK FIELDS - OLD TUCSON HWY,489815,650860,161045,422347,567090,144743,NPM #1 SANTA CRUZ
10522023 1,DRIVE INN                   ,2084760,2871772,787012,2084760,2188998,104238,NPM #1 SANTA CRUZ
10522134B,VILLA HERMOSA,58415,59735,1320,58415,59735,1320,NPM #1 SANTA CRUZ
10524002 6,FLAGSTONE APTS/OFFICES,412799,465854,53055,361329,379397,18068,NPM #1 SANTA CRUZ
10524024,VALLE VERDE APTS,503696,540278,36582,489045,513497,24452,NPM #1 SANTA CRUZ
10528016 9,VOHLAND,384644,384824,180,384644,384824,180,NPM #1 SANTA CRUZ
10528017A1,VEGGIES,237977,237977,0,237977,237977,0,NPM #1 SANTA CRUZ
10528017B,NORTH FOOD BANK,16988,16988,0,16988,16988,0,NPM #1 SANTA CRUZ
10533019A,2847 N. CAMINO VISTA DEL CIELO,106170,107995,1825,106170,107995,1825,NPM #1 SANTA CRUZ
10778094B,WINDEMERE HOTEL,3725000,3725000,0,3725000,3725000,0,NPM #1 SANTA CRUZ
10778094B,WINDEMERE HOTEL EQUIPMENT,,,0,,,0,NPM #1 SANTA CRUZ
0880360 015,WINDEMERE PERSONAL ,,,0,,,0,NPM #1 SANTA CRUZ
11212099B 3,TUBAC (EL MERCADO),724320,764780,40460,440070,462074,22004,NPM #1 SANTA CRUZ
11246011 8,PALO PARADO,53195,53174,-21,53195,53174,-21,NPM #1 SANTA CRUZ
11338002A,RUBY SOUTHWEST,551,551,0,551,551,0,NPM #1 SANTA CRUZ
11338003A,NORAHS RANCH N1/2,3254751,75377,-3179374,3063250,66745,-2996505,NPM #1 SANTA CRUZ
11338008,NORAH'S RANCH FRONT PT,500,500,0,500,500,0,NPM #1 SANTA CRUZ
11338014,NORAH'S RANCH NORTH SIDE,500,18982,18482,500,525,25,NPM #1 SANTA CRUZ
11338015,NORA'S RANCH - KALIROY,3241598,3476232,234634,3050275,3100006,49731,NPM #1 SANTA CRUZ
11338016,NORAH'S RANCH - DELTA,0,2351130,,0,2096672,,NPM #1 SANTA CRUZ
11338017,NORAH'S RANCH - DELTA,0,4008261,,0,3574455,,NPM #1 SANTA CRUZ
11338018,NORAH'S - KALIROY/DELTA,0,1691784,,0,1508686,,NPM #1 SANTA CRUZ
11343003B,PK WEST,27250,27250,0,27200,27250,50,NPM #1 SANTA CRUZ
11345165A 5,FAIRWAY-PROTECH/OCT'04,813246,869966,56720,813246,853908,40662,NPM #1 SANTA CRUZ
11345169,SANCHEZ HSE - 1488 POTRERO,172648,191978,19330,172648,181280,8632,NPM #1 SANTA CRUZ
11345367,MH - 1310 FAIRWAY,1088366,1218170,129804,1088366,1142784,54418,NPM #1 SANTA CRUZ
11346037A 0,MARIPOSA RANCH LOTG - 1590 W CALLE PLATA,1072583,1153706,81123,1072583,1126212,53629,NPM #1 SANTA CRUZ
11346038C 1,MARIPOSA RANCH LOTK,300409,322983,22574,300409,315429,15020,NPM #1 SANTA CRUZ
11346051 1,LA QUINTA II LOT 1 - FLO0D PLANE    ,2623722,3027579,403857,2623722,2754908,131186,NPM #1 SANTA CRUZ
11349013A 9,MARIPOSA III,,,0,,,0,NPM #1 SANTA CRUZ
11349013B 8,MARIPOSA II - 480 N MARIPOSA RD,4153789,5724842,1571053,4102286,5284230,1181944,NPM #1 SANTA CRUZ
11349019B 6,N I P - 225 N FREEPORT DR (DAVIDS),822186,869501,47315,822186,863295,41109,NPM #1 SANTA CRUZ
11349019E 3,N I P - 92 N FREEPORT DR (EMPTY LOT),1026727,1072844,46117,1007979,1058379,50400,NPM #1 SANTA CRUZ
11349019G,NIP - 150 N FREEPORT (CORP ADUANA RIBACOESQU),329801,346809,17008,329801,346291,16490,NPM #1 SANTA CRUZ
11349019H 0,N I P,189347,201412,12065,189347,198814,9467,NPM #1 SANTA CRUZ
11349024A 1,N I P - 180 N FREEPORT DR (MARINOS WHSE),342738,370671,27933,342738,359875,17137,NPM #1 SANTA CRUZ
11349024B 0,N I P - 149 N FREEPORT DR (PALLETUSMEX),2424728,5087517,2662789,2394664,2514397,119733,NPM #1 SANTA CRUZ
11349026B,BARRON NIP 100 ACRES,16733,16808,75,16733,16808,75,NPM #1 SANTA CRUZ
11349030,BARRON NIP 30.04 ACRES,601,601,0,601,601,0,NPM #1 SANTA CRUZ
12130019B,COMMUNICATION TOWER (THEO),,,0,,,0,NPM #1 SANTA CRUZ
12401057 8,1249 CALLE PICO GORDO,115772,115772,0,115772,115772,0,NPM #1 SANTA CRUZ
12401062 2,410 VIA CALANDRIA,110576,110576,0,110576,110576,0,NPM #1 SANTA CRUZ
12401064,412 VIA CALANDRIA,145538,184825,39287,145538,152815,7277,NPM #1 SANTA CRUZ
12401072,1209 CAMINO GILBERTO,58399,60384,1985,58399,60384,1985,NPM #1 SANTA CRUZ
12402102 8,419 CAMINO DEL PATIO,116559,116559,0,116559,116559,0,NPM #1 SANTA CRUZ
12403034,462 AVE PAPALOTE,171538,181470,9932,171538,180115,8577,NPM #1 SANTA CRUZ
14001005 5,COMBATE (K&F) - FLOOD PLANE,488994,800497,311503,454737,477474,22737,NPM #1 SANTA CRUZ
10201035N 7,1967 N. GRAND  (LARRIVAS) LMP,3980868,4386465,405597,3980868,4179911,199043,NPM#2 SANTA CRUZ
10201074 7,MARIPOSA HOTEL,1475618,2268902,-793284,1475618,1549399,-73781,NPM#2 SANTA CRUZ
10213019A,BUENA VISTA HOUSE,221588,274599,53011,210000,220500,10500,NPM#2 SANTA CRUZ
10213019B,BUENA VISTA TOWER,5400,5400,0,5400,5400,0,NPM#2 SANTA CRUZ
10526034 5,PATE,157228,160722,3494,157228,160722,3494,NPM#2 SANTA CRUZ
10203002C 1,R.O.C. ,189255,207822,18567,189255,198718,9463,NPM#3 SANTA CRUZ
10203002H 6,R.O.C. ,189885,207589,17704,189885,199379,9494,NPM#3 SANTA CRUZ
10203002K,R.O.C. ,85595,85595,0,85595,85595,0,NPM#3 SANTA CRUZ
10306002A 9,20 ACRES MONTE CARLO,85000,85000,0,85000,85000,0,NPM#3 SANTA CRUZ
10310024B,LAND,840,840,0,840,840,0,NPM#3 SANTA CRUZ
10323265A,MONTE CARLO APTS+,603619,622723,19104,603619,622723,19104,NPM#3 SANTA CRUZ
10201074B 5,LOMA LINDA MALL LLC,4287183,4609584,322401,4234026,4445727,211701,LOMA LINDA SANTA CRUZ
10201074C4,DELTA PROP. LLP,3137877,3367273,229396,3098970,3253919,154949,LOMA LINDA SANTA CRUZ
10801142C,6910 N. MERCER SPRINGS,494183,534305,40122,476473,500297,23824, NPM #1 PIMA 
220212090,2551 E CALLE SIN RUIDO PU 06/08/09,984357,978811,-5546,883254,927417,44163, NPM #1 PIMA 
108011820,"3700 E. ROSE PEAK PL (P.SEP,'09)",1372406,1360749,-11657,1365171,1360749,-4422, NPM #1 PIMA 
112021530,TUC HSE. 3654 N. SUNTERRA,220581,228718,8137,220155,228718,8563, NPM #1 PIMA 
133197050 1,TUC CONDO 987 N. CARIBE,,,,,,, NPM #1 PIMA 
133197160 3,TUC CONDO 1009 N. CARIBE ,100275,99912,-363,98405,99912,1507, NPM #1 PIMA 
304189200,3290 S. CANOA PLAZA,953475,953475,0,734176,770885,36709, NPM #1 PIMA 
