PARCEL #,PROPERTY,TOTAL FCV 2024,TOTAL FCV 2025,FCV VARIANCE 2425,LIMTED VALUE 2024,LIMTED VALUE 2025,LPV VARIANCE 2425,TOTAL FCV 2023,TOTAL FCV 2024,FCV VARIANCE 2324,LIMTED VALUE 2023,LIMTED VALUE 2024,LPV VARIANCE 2324,TOTAL FCV 2022,TOTAL FCV 2023,FCV VARIANCE 2223,LIMTED VALUE 2022,LIMTED VALUE 2023,LPV VARIANCE 2223,TOTAL FCV 2021,TOTAL FCV 2022,FCV VARIANCE 2122,TOTAL FCV 2020,TOTAL FCV 2O21,FCV VARIANCE 2021,TOTAL FCV 2019,TOTAL FCV 2020,FCV VARIANCE 1920,TOTAL FCV 2018,TOTAL FCV 2019,FCV VARIANCE 1819,LIMITED VALUE 2017,LIMITED VALUE 2018,TOTAL FCV 2019,LPV VARIANCE 1718,County
10201098D 3,CRISPY FOODS -VETERANS/570 W MARIPOSA RD/CW,997455,893804,-103651,877958,893804,15846,850091,997455,147364,836150,877958,41808,796333,850091,53758,796333,836150,39817,774684,796333,21649,762815,774684,11869,742752,762815,20063,748769,742752,-6017,671465,705038,740290,35252,NPM #1 SANTA CRUZ
10202009 2,KORY WHSE - 2347 N GRAND AVE,257528,239786,-17742,238359,239786,1427,227009,257528,30519,227009,238359,11350,217932,227009,9077,217932,227009,9077,216881,217932,1051,212702,216881,4179,210477,212702,2225,212141,210477,-1664,202416,212141,210477,-1664,NPM #1 SANTA CRUZ
10203008G,SAN FELIPE LOTS - MARIPOSA RANCH RD,71000,65000,-6000,11025,11576,551,55000,71000,16000,10500,11025,525,10000,55000,45000,10000,10500,500,10000,10000,0,10000,10000,0,10000,10000,0,10000,10000,0,10000,10000,10000,0,NPM #1 SANTA CRUZ
10203008H,SAN FELIPE LOTS - MARIPOSA RANCH RD,71000,65000,-6000,551,579,28,55000,71000,16000,525,551,26,500,55000,54500,500,525,25,500,500,0,500,500,0,500,500,0,500,500,0,500,500,500,0,NPM #1 SANTA CRUZ
10203018A,SAN FELIPE LOTS,52194,52194,0,52194,52194,0,52194,52194,0,52194,52194,0,52194,52194,0,52194,52194,0,52194,52194,0,52194,52194,0,52194,52194,0,52194,52194,0,52194,52194,52194,0,NPM #1 SANTA CRUZ
10203021B,SAN FELIPE LOTS - MARIPOSA RANCH RD,55242,55242,0,55242,55242,0,55242,55242,0,55242,55242,0,55242,55242,0,55242,55242,0,55242,55242,0,55242,55242,0,55242,55242,0,55242,55242,0,55242,55242,55242,0,NPM #1 SANTA CRUZ
10203022,SAN FELIPE LOTS,30051,30051,0,30051,30051,0,30051,30051,0,30051,30051,0,30051,30051,0,30051,30051,0,30051,30051,0,30051,30051,0,30051,30051,0,30051,30051,0,30051,30051,30051,0,NPM #1 SANTA CRUZ
10203048,MOLERA PARCEL,28026,28026,0,28026,28026,0,28026,28026,0,28026,28026,0,28026,28026,0,28026,28026,0,28026,28026,0,28026,28026,0,28026,28026,0,28026,28026,0,,28026,28026,0,NPM #1 SANTA CRUZ
10204002A,ESCALADA 205 ACRES - W CIMARRON,4101,3691,-410,4101,3691,-410,4101,4101,0,4101,4101,0,4101,4101,0,4101,4101,0,4101,4101,0,4101,4101,0,4101,4101,0,4101,4101,0,,4101,4101,0,NPM #1 SANTA CRUZ
10204010E 5,MARIPOSA  INDUSTRIAL PARK I,167837,167837,0,167837,167837,0,167837,167837,0,167837,167837,0,176550,176550,0,176550,176550,0,176550,176550,0,176550,176550,0,176550,176550,0,176550,176550,0,176550,176550,176550,0,NPM #1 SANTA CRUZ
10204019A 6,M I P    II - 1150 N IND PK DR,314142,263265,-50877,273117,263265,-9852,267535,314142,46607,260112,273118,13006,247726,267535,19809,247726,260112,12386,243763,247726,3963,238167,243763,5596,238531,238167,-364,240123,238531,-1592,225291,236556,238531,1975,NPM #1 SANTA CRUZ
10204019B 5,M I P    II - 1144 W. IND. PARK DR,647342,568964,-78378,560058,568964,8906,541736,647342,105606,533388,560057,26669,507989,541736,33747,507989,533388,25399,507989,507989,0,499710,515209,15499,488716,499710,10994,496193,488716,-7477,478073,496193,488716,-7477,NPM #1 SANTA CRUZ
10204024A 0,M I P    II - 1200 W IND PARK STE C (ACESSUM),1928004,1711497,-216507,1584483,1663707,79224,1570706,1928004,357298,1509031,1584483,75452,1437173,1570706,133533,1437173,1509032,71859,1437173,1437173,0,1427987,1477513,49526,1349038,1427987,78949,1409094,1349038,-60056,1349038,1409094,1349038,-60056,NPM #1 SANTA CRUZ
10204043A 5,M I P    I - 1481 N IND PARK DR 3 (R.L.R.),898253,761951,-136302,740249,761951,21702,727668,898253,170585,704998,869961,164963,670099,727668,57569,670099,703604,33505,670099,670099,0,665962,690322,24360,612962,665962,53000,670575,612962,-57613,612962,643610,110333,-533277,NPM #1 SANTA CRUZ
10204044C 6,M I P    III - 1481 N. IND. PARK DR,600828,535519,-65309,510300,535519,25219,497621,600828,103207,486000,510300,24300,462857,497621,34764,462857,486000,23143,462857,462857,0,455833,470180,14347,456899,455833,-1066,457866,456899,-967,455879,457866,456899,-967,NPM #1 SANTA CRUZ
10204048A,"MIP II - 1140 W MARIPOSA IND PARK (ARIVEL, TWIN PLANT)",767724,645879,-121845,616451,645879,29428,606075,767724,161649,587096,616451,29355,559139,606075,46936,559139,587096,27957,554408,559139,4731,565084,554408,-10676,565084,565084,0,565084,565084,0,482722,506858,532201,25343,NPM #1 SANTA CRUZ
10204051,MARIPOSA IND. PARK LOT 12 - 1270 N INDUSTRIAL PARK AVE,2169185,1932702,-236483,1785493,1874768,89275,1775944,2169182,393238,1700469,1785492,85023,1619495,1775944,156449,1619495,1700470,80975,1619495,1619495,0,1617181,1668712,51531,1585867,1617181,31314,1578187,1585867,7680,1452272,1524886,1585867,60981,NPM #1 SANTA CRUZ
10204052,MARIPOSA IND. PARK LOT 13 - 1171 N INDUSTRIAL PARK DR,803735,728142,-75593,660041,693043,33002,650017,803735,153718,628610,660041,31431,598677,650017,51340,598677,628611,29934,598677,598677,0,597084,619142,22058,537839,597084,59245,537839,537839,0,537839,537839,537839,0,NPM #1 SANTA CRUZ
10206017 7,130 W. WHITE RD./SONIC P 5/14/09,380351,378852,-1499,341137,358194,17057,331264,380351,49087,324893,341138,16245,311656,331264,19608,309421,324892,15471,302700,311656,8956,292726,296926,4200,286799,292726,5927,268837,286799,17962,293590,248146,274492,26346,NPM #1 SANTA CRUZ
10206018 0,120 W. WHITE RD./CRISPY F. P.2/17/09,468668,386062,-82606,399486,386062,-13424,383211,468668,85457,380463,399486,19023,362346,383211,20865,362346,380463,18117,354426,362346,7920,347059,354426,7367,334691,347059,12368,347812,334691,-13121,328243,344655,334691,-9964,NPM #1 SANTA CRUZ
10207043A,861 W CIARDULLI PL,,,0,,,0,,,0,,,0,,,0,,,0,,,0,SOLD,,#VALUE!,,SOLD,,375671,382453,6782,239980,354609,372339,17730,NPM #1 SANTA CRUZ
10206034,OASIS TOWNE CENTRE BLOCK 7 - 10.55 ACRES,211,190,-21,211,190,-21,211,211,0,211,211,0,211,211,0,211,211,0,211,211,0,,,,,,,,,,,,,,NPM #1 SANTA CRUZ
10206035,OASIS TOWNE CENTRE BLOCK 8-A - 8.16 ACRES,163,147,-16,163,147,-16,163,163,0,163,163,0,163,163,0,163,163,0,163,163,0,,,,,,,,,,,,,,NPM #1 SANTA CRUZ
10213017,HOLLER - 1041 W TARGET RANGE RD,46022,46022,0,46022,46022,0,46022,46022,0,46022,46022,0,46022,46022,0,46022,46022,0,46022,46022,0,46022,46022,0,46022,46022,0,46022,46022,0,46022,46022,46022,0,NPM #1 SANTA CRUZ
10213020,BUENA VISTA APTS.- 311 N. MCNAB DR,915000,915000,0,915000,915000,0,915000,915000,0,915000,915000,0,915000,915000,0,915000,915000,0,915000,915000,0,915000,915000,0,915000,915000,0,925778,941125,15347,898112,925778,941125,15347,NPM #1 SANTA CRUZ
10306007,NOGALES DEVELOPMENT - (GRAZING) -ESCALADA OASIS,4379,3941,-438,4379,3941,-438,4379,4379,0,4379,4379,0,4379,4379,0,4379,4379,0,4379,4379,0,4379,4379,0,4379,4379,0,4379,4379,0,4379,4169,4377,208,NPM #1 SANTA CRUZ
10309014,K-RANCH,30432,30432,0,30432,30432,0,30432,30432,0,30432,30432,0,30432,30432,0,30432,30432,0,30432,30432,0,30432,30432,0,30432,30432,0,30432,30432,0,30432,30432,30432,0,NPM #1 SANTA CRUZ
10310017D,ROYAL RD RANCH,4605,4144,-461,4605,4144,-461,4605,4605,0,4605,4605,0,4605,4605,0,4605,4605,0,4605,4605,0,4605,4605,0,4605,4605,0,4605,4605,0,4605,4605,4605,0,NPM #1 SANTA CRUZ
10310024A,K-RANCH - 870 N PERKINS AVE (SUNSHINE PRESCHOOL),356974,344304,-12670,255522,268297,12775,300043,356974,56931,243355,255522,12167,231766,300043,68277,231766,243354,11588,243033,231766,-11267,259170,243033,-16137,291389,259170,-32219,291389,291389,0,277513,291389,291389,0,NPM #1 SANTA CRUZ
10310026 1,K-RANCH,758,683,-75,758,683,-75,758,758,0,758,758,0,758,758,0,758,758,0,758,758,0,758,758,0,758,758,0,758,758,0,758,758,758,0,NPM #1 SANTA CRUZ
10508004,NORAH'S RANCH SE,4091,4091,0,4091,4091,0,4091,4091,0,4091,4091,0,4091,4091,0,4091,4091,0,4091,4091,0,4091,4091,0,4091,4091,0,4091,4091,0,4091,4091,4091,0,NPM #1 SANTA CRUZ
10520003,CANYON  APTS - 10 N NIKOS WAY,587615,568998,-18617,492785,517424,24639,491920,587615,95695,469319,492785,23466,446970,491920,44950,446970,469319,22349,438053,446970,8917,426406,438053,11647,392702,426406,33704,392766,392702,-64,359414,377385,392702,15317,NPM #1 SANTA CRUZ
10520004A 9,MORGAN                 FLOOD PLANE      30 OLD TUCSON RD,3357731,2803748,-553983,2533678,2660362,126684,2413027,3357731,944704,2413027,2533678,120651,2413027,2413027,0,2413027,2413027,0,2457654,2593973,136319,2457654,2457654,0,2542340,3541823,999483,2542340,2542340,0,2542340,2542340,2542340,0,NPM #1 SANTA CRUZ
10520008 2,CANYON HOUSE/RANCH HOUSE - 16 NIKOS WAY,1074874,1149407,74533,492266,516879,24613,829893,1074874,244981,468824,492265,23441,682423,829893,147470,446499,468824,22325,579040,682423,103383,579487,579040,-447,469031,579487,110456,455296,469031,13735,349843,367335,385702,18367,NPM #1 SANTA CRUZ
10520009B,CASA MOLINA RESTAURANT / 555 E FRONTAGE RD,41404,41404,0,41404,41404,0,41404,41404,0,41404,41404,0,41404,41404,0,41404,41404,0,41404,41404,0,41404,41404,0,41404,41404,0,41404,41404,0,,41404,41404,0,NPM #1 SANTA CRUZ
10520009C 2,PK OLD HSE *- CHINETO- 50 NIKOS WAY,606707,579427,-27280,486770,511107,24337,496345,606707,110362,463591,486770,23179,463790,496345,32555,441515,463591,22076,443978,463790,19812,443978,443978,0,421134,443978,22844,121451,421134,299683,118064,121451,376076,254625,NPM #1 SANTA CRUZ
10520009G ,PK RANCH,1000,1000,0,1000,1000,0,1000,1000,0,1000,1000,0,1000,1000,0,1000,1000,0,1000,1000,0,1000,1000,0,1000,1000,0,1000,1000,0,1000,1000,1000,0,NPM #1 SANTA CRUZ
10520009K 1,CASITA PROKTER,113222,110030,-3192,103303,108468,5165,98384,113222,14838,98384,103303,4919,94156,98384,4228,94156,98384,4228,89867,94156,4289,89867,89867,0,89867,100599,10732,85277,89867,4590,85277,85277,89541,4264,NPM #1 SANTA CRUZ
10521001,PK McCOY - 3751 E FRONTAGE RD,215865,228525,12660,148083,155487,7404,169609,215865,46256,141031,148083,7052,141163,169609,28446,99243,104204,4961,121010,141163,20153,121177,121010,-167,100422,121177,20755,98149,100422,2273,77759,81646,85728,4082,NPM #1 SANTA CRUZ
10520010,PK FIELDS - OLD TUCSON HWY,1448462,1534071,85609,759955,797953,37998,1137966,1448462,310496,723767,759955,36188,942687,1137966,195279,689302,723767,34465,807618,942687,135069,808702,807618,-1084,670872,808702,137830,650860,670872,20012,422347,567090,595445,28355,NPM #1 SANTA CRUZ
10522023 1,DRIVE INN - 3269 N GRAND AVE,3132185,2695543,-436642,2540371,2667391,127020,2501788,3132185,630397,2419400,2540371,120971,2304191,2501788,197597,2304191,2419401,115210,2202386,2304191,101805,2202386,2202386,0,2853153,2929400,76247,2871772,2853153,-18619,2084760,2188998,2298448,109450,NPM #1 SANTA CRUZ
10522134B,VILLA HERMOSA APTS.,89558,85367,-4191,68704,72139,3435,73010,89558,16548,65432,68704,3272,62316,73010,10694,62316,65432,3116,62040,62316,276,62290,62040,-250,60676,62290,1614,59735,60676,941,58415,59735,60676,941,NPM #1 SANTA CRUZ
10524002 6,FLAGSTONE APTS/OFFICES 2841 N GRAND AVE,682104,724238,42134,508427,533848,25421,571060,682104,111044,484217,508427,24210,517659,571060,53401,461159,484217,23058,516069,517659,1590,495956,516069,20113,429022,495956,66934,428922,429022,100,361329,379396,398366,18970,NPM #1 SANTA CRUZ
10524024,VALLE VERDE APTS,612991,591074,-21917,467087,490441,23354,496322,612991,116669,444845,467087,22242,423662,496322,72660,423662,444845,21183,422901,423662,761,425288,422901,-2387,430937,425288,-5649,430937,430937,0,489045,430937,430937,0,NPM #1 SANTA CRUZ
10528016 9,VOHLAND - 274 W PRODUCE R,459266,437941,-21325,368412,386833,18421,370674,459266,88592,350869,368412,17543,334161,370674,36513,334161,350869,16708,334161,334161,0,350497,372536,22039,350497,350497,0,384824,423405,38581,384644,384824,404065,19241,NPM #1 SANTA CRUZ
10528017A1,VEGGIES - 274 W PRODUCE R,323314,330621,7307,273461,287134,13673,274485,323314,48829,260439,273461,13022,248037,274485,26448,248037,260439,12402,248037,248037,0,253651,273806,20155,253651,253651,0,237977,287758,49781,237977,237977,249876,11899,NPM #1 SANTA CRUZ
10528017B,NORTH FOOD BANK,8494,8494,0,8494,8494,0,8494,8494,0,8494,8494,0,8494,8494,0,8494,8494,0,8494,8494,0,8494,8494,0,16988,16988,0,16988,16988,0,16988,16988,16988,0,NPM #1 SANTA CRUZ
10533019A,417 CAMINO VISTA DEL CIELO,113978,113586,-392,113978,113586,-392,110289,113978,3689,110289,113978,3689,109099,110289,1190,109099,110289,1190,108650,109099,449,108650,108650,0,107981,108650,669,107995,107981,-14,106170,107995,107981,-14,NPM #1 SANTA CRUZ
10778094B,WINDEMERE HOTEL- SIERRA VISTA            SOLD 09/09/23,,,0,,,0,,,0,,,0,3000000,3000000,0,3000000,3000000,0,3725000,3725000,0,3725000,3725000,0,,,0,3725000,3725000,0,3725000,3725000,3725000,0,NPM #1 SANTA CRUZ
11212099B 3,TUBAC (EL MERCADO) 2261 E FRONTAGE RD,956811,924282,-32529,619225,650186,30961,840190,956811,116621,589738,619225,29487,805398,840190,34792,561655,589738,28083,788266,805398,17132,780788,788266,7478,758608,780788,22180,764780,758608,-6172,440070,462074,485178,23104,NPM #1 SANTA CRUZ
11244557,TUBAC LOT 157- 1602 GOLDEN GATE WAY-SOLD,,,0,,,0,29925,185097,155172,29925,164162,134237,2500,29925,27425,2500,29925,27425,2500,2500,0,2500,2500,0,16520,16520,0,16520,16520,0,,16520,16520,0,NPM #1 SANTA CRUZ
11244558,TUBAC LOT 158- 1604 GOLDEN GATE WAY - SOLD 11.30.23,224002,219777,-4225,198667,208600,9933,47710,174726,127016,45820,154964,109144,2500,25792,23292,2500,25792,23292,2500,2500,0,2500,2500,0,14238,14238,0,14238,14238,0,,14238,14238,0,NPM #1 SANTA CRUZ
11244559,TUBAC LOT 159- 1606 GOLDEN GATE WAY,221045,217508,-3537,196045,205847,9802,47710,172360,124650,45820,152866,107046,2500,25792,23292,2500,25792,23292,2500,2500,0,2500,2500,0,14238,14238,0,14238,14238,0,,14238,14238,0,NPM #1 SANTA CRUZ
11244560,TUBAC LOT 160- 1608 GOLDEN GATE WAY,207466,203898,-3568,184001,193201,9200,25792,38875,13083,25792,34478,8686,2500,25792,23292,2500,25792,23292,2500,2500,0,2500,2500,0,14238,14238,0,14238,14238,0,,14238,14238,0,NPM #1 SANTA CRUZ
11244561,TUBAC LOT 161- 1610 GOLDEN GATE WAY,209813,206202,-3611,183083,195387,12304,25792,51959,26167,25792,46082,20290,2500,25792,23292,2500,25792,23292,2500,2500,0,2500,2500,0,14238,14238,0,14238,14238,0,,14238,14238,0,NPM #1 SANTA CRUZ
11244562,TUBAC LOT 162- 1612 GOLDEN GATE WAY-SOLD 04.18.24,265753,261122,-4631,235695,247480,11785,29925,81885,51960,29925,72624,42699,2500,29925,27425,2500,29925,27425,2500,2500,0,2500,2500,0,16520,16520,0,16520,16520,0,,16520,16520,0,NPM #1 SANTA CRUZ
11244563,SUB EMBARC. AT BARRIO DE TUBAL LOT 163 1611 GGW,271071,266342,-4729,240412,252433,12021,29925,82502,52577,29925,73171,43246,2500,29925,27425,2500,29925,27425,2500,2500,0,2500,2500,0,16520,16520,0,16520,16520,0,,16520,16520,0,NPM #1 SANTA CRUZ
11244564,TUBAC LOT 164- 1609 GOLDEN GATE WAY,207466,203898,-3568,184001,193201,9200,25792,111217,85425,25792,98638,72846,2500,25792,23292,2500,25792,23292,2500,2500,0,2500,2500,0,14238,14238,0,14238,14238,0,,14238,14238,0,NPM #1 SANTA CRUZ
11244565,TUBAC LOT 165- 1607 GOLDEN GATE WAY,225690,197845,-27845,200164,197845,-2319,25792,25792,0,25792,25792,0,2500,25792,23292,2500,25792,23292,2500,2500,0,2500,2500,0,14238,14238,0,14238,14238,0,,14238,14238,0,NPM #1 SANTA CRUZ
11244566,TUBAC LOT 166- 1605 GOLDEN GATE WAY,217216,213129,-4087,192649,202281,9632,25792,169413,143621,25792,150252,124460,2500,25792,23292,2500,25792,23292,2500,2500,0,2500,2500,0,14238,14238,0,14238,14238,0,,14238,14238,0,NPM #1 SANTA CRUZ
11244567,TUBAC LOT 167- 1603 GOLDEN GATE WAY,218946,214823,-4123,194183,203892,9709,45658,167537,121879,43849,148588,104739,2500,25792,23292,2500,25792,23292,2500,2500,0,2500,2500,0,14238,14238,0,14238,14238,0,,14238,14238,0,NPM #1 SANTA CRUZ
11244568,TUBAC LOT 168- 1601 GOLDEN GATE WAY-SOLD 09.18.23,,,0,,,0,29925,209224,179299,29925,185560,155635,2500,29925,27425,2500,29925,27425,2500,2500,0,2500,2500,0,16520,16520,0,16520,16520,0,,16520,16520,0,NPM #1 SANTA CRUZ
11244569,TUBAC LOT 169,8135,8135,0,8135,8135,0,8135,8135,0,8135,8135,0,2500,29925,27425,2500,29925,27425,SOLD,,,2500,2500,0,16520,16520,0,16520,16520,0,,16520,16520,0,NPM #1 SANTA CRUZ
11244570,TUBAC LOT 170,8135,8135,0,8135,8135,0,8135,8135,0,8135,8135,0,2500,27023,24523,2500,27023,24523,2500,2500,0,2500,2500,0,16520,16520,0,14918,14918,0,,14918,14918,0,NPM #1 SANTA CRUZ
11244571,TUBAC LOT 171,8135,8135,0,8135,8135,0,8135,8135,0,8135,8135,0,2500,25792,23292,2500,25792,23292,SOLD,,,2500,2500,0,14238,14238,0,14238,14238,0,,14238,14238,0,NPM #1 SANTA CRUZ
11244572,TUBAC LOT 172,8135,8135,0,8135,8135,0,8135,8135,0,8135,8135,0,2500,25792,23292,2500,25792,23292,2500,2500,0,2500,2500,0,14238,14238,0,14238,14238,0,,14238,14238,0,NPM #1 SANTA CRUZ
11244573,TUBAC LOT 173,8135,8135,0,8135,8135,0,8135,8135,0,8135,8135,0,2500,25792,23292,2500,25792,23292,2500,2500,0,2500,2500,0,14238,14238,0,14238,14238,0,,14238,14238,0,NPM #1 SANTA CRUZ
11244574,TUBAC LOT 174,8135,8135,0,8135,8135,0,8135,8135,0,8135,8135,0,2500,29925,27425,2500,29925,27425,2500,2500,0,2500,2500,0,16520,16520,0,16520,16520,0,,16520,16520,0,NPM #1 SANTA CRUZ
11244575,TUBAC LOT 175,8135,8135,0,8135,8135,0,8135,8135,0,8135,8135,0,2500,29925,27425,2500,29925,27425,SOLD,,,2500,2500,0,16520,16520,0,16520,16520,0,,16520,16520,0,NPM #1 SANTA CRUZ
11244576,TUBAC LOT 176,8135,8135,0,8135,8135,0,8135,8135,0,8135,8135,0,2500,25792,23292,2500,25792,23292,2500,2500,0,2500,2500,0,14238,14238,0,14238,14238,0,,14238,14238,0,NPM #1 SANTA CRUZ
11244577,TUBAC LOT 177,8135,8135,0,8135,8135,0,8135,8135,0,8135,8135,0,2500,25792,23292,2500,25792,23292,2500,2500,0,2500,2500,0,14238,14238,0,14238,14238,0,,14238,14238,0,NPM #1 SANTA CRUZ
11244578,TUBAC LOT 178,8135,8135,0,8135,8135,0,8135,8135,0,8135,8135,0,2500,25792,23292,2500,25792,23292,2500,2500,0,2500,2500,0,14238,14238,0,14238,14238,0,,14238,14238,0,NPM #1 SANTA CRUZ
